"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 18 18:07:45 PDT 2023","Mon Sep 18 18:07:46 PDT 2023","174","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithoutName","CreatePlaylistWithoutName",""
"passed","Mon Sep 18 18:07:42 PDT 2023","Mon Sep 18 18:07:46 PDT 2023","3159","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithExpiredToken","CreatePlaylistWithExpiredToken",""
"passed","Mon Sep 18 19:40:17 PDT 2023","Mon Sep 18 19:40:21 PDT 2023","3199","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","UpdatePlaylist","update playlist details - TestNG",""
"passed","Mon Sep 18 17:55:44 PDT 2023","Mon Sep 18 17:55:48 PDT 2023","3442","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","GetPlaylist","get details of active playlist - TestNG",""
"passed","Mon Sep 18 19:40:17 PDT 2023","Mon Sep 18 19:40:21 PDT 2023","3279","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreateNewPlaylist","create a new playlist - TestNG","this is the description - From "
